127.0.0.1 - - [09/Apr/2018:15:00:19 +0530] "GET / HTTP/1.1" 404 1074
172.16.201.248 - - [09/Apr/2018:15:00:25 +0530] "OPTIONS /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:00:26 +0530] "POST /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 11
172.16.201.248 - - [09/Apr/2018:15:00:26 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 783
172.16.201.248 - - [09/Apr/2018:15:00:28 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:00:28 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:00:39 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:00:39 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:03:57 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:03:57 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:03:57 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:04:00 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:04:23 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:04:23 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:04:30 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:04:30 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1570
172.16.201.248 - - [09/Apr/2018:15:07:21 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
