127.0.0.1 - - [01/May/2018:13:58:32 +0530] "GET / HTTP/1.1" 404 1074
172.16.201.248 - - [01/May/2018:13:58:35 +0530] "OPTIONS /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:13:58:35 +0530] "OPTIONS /SHW-rest/rest/rating/id/null HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:13:58:35 +0530] "GET /SHW-rest/rest/rating/id/null HTTP/1.1" 400 1127
172.16.201.248 - - [01/May/2018:13:58:35 +0530] "GET /SHW-rest/rest/rating/id/null HTTP/1.1" 400 1127
172.16.201.248 - - [01/May/2018:13:58:36 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [01/May/2018:13:58:36 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1391
172.16.201.248 - - [01/May/2018:13:58:36 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [01/May/2018:13:58:36 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1391
172.16.201.248 - - [01/May/2018:13:58:49 +0530] "GET /SHW-rest/rest/rating/id/null HTTP/1.1" 400 1127
172.16.201.248 - - [01/May/2018:13:58:49 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
172.16.201.248 - - [01/May/2018:13:59:08 +0530] "OPTIONS /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:13:59:08 +0530] "POST /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 153
172.16.201.248 - - [01/May/2018:13:59:10 +0530] "POST /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 153
172.16.201.248 - - [01/May/2018:13:59:19 +0530] "POST /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 153
172.16.201.248 - - [01/May/2018:13:59:50 +0530] "OPTIONS /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:13:59:50 +0530] "POST /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 11
172.16.201.248 - - [01/May/2018:13:59:58 +0530] "OPTIONS /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:13:59:58 +0530] "POST /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 141
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "OPTIONS /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "OPTIONS /SHW-rest/rest/rating/id/1741 HTTP/1.1" 200 -
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1391
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1391
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/rating/id/1741 HTTP/1.1" 200 575
172.16.201.248 - - [01/May/2018:14:00:00 +0530] "GET /SHW-rest/rest/rating/id/1741 HTTP/1.1" 200 575
172.16.201.248 - - [01/May/2018:14:00:02 +0530] "GET /SHW-rest/rest/candidate/getCandidateDetails/1741 HTTP/1.1" 200 127461
172.16.201.248 - - [01/May/2018:14:00:02 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1391
172.16.201.248 - - [01/May/2018:14:00:02 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [01/May/2018:14:00:02 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
